numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230425090000;101750;180;3;20;3.800000;281.950000;276.950000;71;18670;0;mq;mq;mq;mq;mq;mq;mq;mq;100870;mq;mq;700;mq;mq;mq;mq;280.350000;mq;mq;6.500000;6.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230425090000;101670;200;3;340;3.600000;281.650000;275.450000;65;43150;0;mq;mq;90;5;800;mq;mq;mq;101090;mq;mq;690;mq;mq;mq;mq;281.250000;mq;mq;6.200000;6.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.200000;2.400000;mq;mq;mq;mq;4;mq;990;5;mq;1200;7;mq;1800;mq;mq;mq;
07020;20230425090000;101810;120;3;70;8.200000;282.450000;277.650000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101700;mq;mq;670;mq;mq;mq;mq;mq;mq;mq;10.800000;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230425090000;101790;160;2;50;5.000000;282.850000;277.450000;69;17310;0;mq;mq;75;6;800;mq;mq;mq;100970;mq;mq;540;mq;mq;mq;mq;282.750000;mq;mq;9.400000;9.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.600000;1.400000;mq;mq;mq;mq;4;mq;720;5;mq;870;5;mq;1020;mq;mq;mq;
07037;20230425090000;101730;170;2;20;5.200000;280.750000;275.450000;69;17710;0;mq;mq;mq;3;800;mq;mq;mq;99810;mq;mq;520;mq;mq;mq;mq;281.850000;mq;mq;7.800000;9.800000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;2;mq;780;3;mq;960;mq;mq;mq;mq;mq;mq;
07072;20230425090000;101530;230;3;350;5.500000;280.750000;279.350000;91;11610;0;mq;mq;100;8;450;mq;mq;mq;100370;mq;mq;390;mq;mq;mq;mq;277.450000;mq;mq;8.500000;8.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.800000;7.600000;mq;mq;mq;mq;7;mq;330;8;mq;480;mq;mq;mq;mq;mq;mq;
07110;20230425090000;101580;0;0;100;4.100000;284.350000;280.650000;78;19310;0;mq;mq;mq;2;450;mq;mq;mq;100400;mq;mq;210;mq;mq;mq;mq;271.550000;mq;mq;6.100000;6.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;2;mq;570;5;mq;4620;mq;mq;mq;mq;mq;mq;
07117;20230425090000;101690;80;3;80;5.600000;283.150000;278.750000;74;25000;2;2;mq;100;8;800;38;27;mq;100980;mq;mq;420;mq;mq;mq;mq;mq;mq;mq;9.000000;10.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;2;8;600;2;6;1000;2;3;2000;mq;mq;mq;
07130;20230425090000;101730;110;3;90;3.300000;283.750000;280.050000;78;24790;0;mq;mq;75;1;450;mq;mq;mq;101280;mq;mq;320;mq;mq;mq;mq;280.150000;mq;mq;5.900000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.400000;mq;mq;mq;mq;1;mq;540;5;mq;5820;6;mq;6600;mq;mq;mq;
07139;20230425090000;101720;180;3;30;3.900000;282.550000;277.750000;72;20000;0;mq;mq;75;6;800;mq;mq;mq;99960;mq;mq;360;mq;mq;mq;mq;281.650000;mq;mq;6.100000;8.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;5;mq;660;6;mq;840;mq;mq;mq;mq;mq;mq;
